,product_name,Category,Curry_Price,Curry_Rating,Curry_Rating_Count,Very_Price,Very_Rating,Very_Rating_Count,Price_Difference,Rating_Difference
1,"LG OLED65C14LB 65"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,1349.0,4.7,159.0,1399.0,4.8,445.0,-3.7064492216456637,-1.9999999999999927
2,"LG OLED55A16LA 55"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,719.0,4.55,250.0,719.0,4.8,197.0,0.0,-5.0
3,"HISENSE 50A6GTUK 50"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,279.0,4.5,170.0,279.0,4.5,77.0,0.0,0.0
4,"HISENSE 43A6GTUK 43"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,229.0,4.4,176.0,229.0,4.5,75.0,0.0,-1.9999999999999927
5,"LG 43UP75006LF 43"" Smart 4K Ultra HD HDR LED TV",TV,279.0,4.4,346.0,249.0,4.3,115.0,10.75268817204301,2.0000000000000107
6,"LG OLED55C14LB 55"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,899.0,4.7,397.0,1051.0,4.7,385.0,-16.907675194660733,0.0
7,"LG 50UP75006LF 50"" Smart 4K Ultra HD HDR LED TV",TV,329.0,4.45,122.0,299.0,4.3,120.0,9.118541033434651,3.000000000000007
8,"SAMSUNG UE75TU7020KXXU 75"" Smart 4K Ultra HD HDR LED TV",TV,749.0,4.5,9325.0,749.0,4.5,350.0,0.0,0.0
11,"LG 22TN410V 21.5"" Full HD LED TV Monitor",TV,119.99,4.45,440.0,329.0,4.5,77.0,-174.18951579298275,-0.9999999999999963
12,"HISENSE 55A6GTUK 55"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,329.0,4.5,170.0,329.0,4.3,116.0,0.0,4.0000000000000036
13,"LG 55UP75006LF 55"" Smart 4K Ultra HD HDR LED TV",TV,379.0,4.6,118.0,470.0,4.3,119.0,-24.010554089709764,5.9999999999999964
17,"TOSHIBA 32WK3C63DB 32"" Smart HD Ready HDR LED TV with Amazon Alexa",TV,189.0,4.25,79.0,449.0,4.5,75.0,-137.56613756613757,-5.0
21,"HISENSE 55A7GQTUK 55"" Smart 4K Ultra HD HDR QLED TV with Alexa & Google Assistant",TV,499.0,4.4,292.0,449.0,4.6,115.0,10.02004008016032,-3.9999999999999853
159,SONY WF-1000XM4 Wireless Bluetooth Noise-Cancelling Earbuds - Black,TV,219.0,4.35,466.0,219.0,4.4,338.0,0.0,-1.0000000000000142
160,SONY WF-1000XM4 Wireless Bluetooth Noise-Cancelling Earbuds - Silver,TV,219.0,4.35,466.0,219.0,4.4,337.0,0.0,-1.0000000000000142
163,SONY WF-C500 Wireless Bluetooth Earbuds - Black,TV,59.0,4.45,85.0,64.0,4.5,106.0,-8.47457627118644,-0.9999999999999963
164,SAMSUNG Galaxy Buds Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Phantom Black,TV,179.0,4.05,62.0,179.0,4.0,2208.0,0.0,0.9999999999999963
168,SONY WH-1000XM4 Wireless Bluetooth Noise-Cancelling Headphones - Black,TV,279.0,4.6,608.0,279.0,4.5,869.0,0.0,1.9999999999999927
169,BEATS Solo 3 Wireless Bluetooth Headphones - Black,TV,189.0,4.55,300.0,24.99,4.2,86.0,86.77777777777777,6.999999999999992
170,SONY WH-CH510 Wireless Bluetooth Headphones - Black,TV,39.99,4.3,586.0,41.99,4.2,137.0,-5.0012503125781445,1.9999999999999927
173,SONY WH-1000XM4 Wireless Bluetooth Noise-Cancelling Headphones - Blue,TV,279.0,4.6,608.0,279.0,4.5,869.0,0.0,1.9999999999999927
175,SONY WF-C500 Wireless Bluetooth Earbuds - Green,TV,59.0,4.45,85.0,64.0,4.5,106.0,-8.47457627118644,-0.9999999999999963
179,SONY WH-CH510 Wireless Bluetooth Headphones - Blue,TV,39.99,4.2,314.0,41.99,4.2,137.0,-5.0012503125781445,0.0
180,SONY WH-CH510 Wireless Bluetooth Headphones - White,TV,39.99,4.45,282.0,41.99,4.2,137.0,-5.0012503125781445,5.0
181,SONY WF-1000XM3 Wireless Bluetooth Noise-Cancelling Earbuds - Silver,TV,98.97,4.1,538.0,94.0,4.1,996.0,5.021723754673133,0.0
184,SONY WF-C500 Wireless Bluetooth Earbuds - White,TV,59.0,4.45,85.0,64.0,4.5,106.0,-8.47457627118644,-0.9999999999999963
186,BOSE Sport Wireless Bluetooth Earbuds - Black,TV,179.0,4.35,135.0,219.0,4.4,338.0,-22.3463687150838,-1.0000000000000142
187,SKULLCANDY Sesh Evo True Wireless Bluetooth Earphones - Black,TV,49.99,4.1,57.0,49.0,3.9,52.0,1.980396079215847,3.9999999999999947
188,SONY WF-C500 Wireless Bluetooth Earbuds - Orange,TV,59.0,4.45,85.0,64.0,4.5,106.0,-8.47457627118644,-0.9999999999999963
191,SAMSUNG Galaxy Buds Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Phantom Violet,TV,219.0,3.35,100.0,179.0,4.0,2208.0,18.2648401826484,-12.999999999999998
201,JLAB AUDIO GO Air Wireless Bluetooth Earbuds - Black,TV,19.99,3.3,99.0,29.99,4.6,181.0,-50.025012506253134,-25.999999999999996
204,LG TONE Free UFP8 Wireless Bluetooth Noise-Cancelling Earbuds - Black,TV,99.99,4.45,71.0,99.0,4.7,66.0,0.9900990099009851,-5.0
213,LG TONE Free UFP8 Wireless Bluetooth Noise-Cancelling Earbuds - White,TV,99.99,4.45,71.0,99.0,4.6,50.0,0.9900990099009851,-2.9999999999999893
242,BOSCH Serie 6 WAU28T64GB 9 kg 1400 Spin Washing Machine - White,TV,479.0,4.6,541.0,479.0,4.7,252.0,0.0,-2.0000000000000107
243,SAMSUNG Series 6 AddWash + Auto Dose WW90T684DLH/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - White,TV,569.99,4.55,180.0,569.0,4.6,54.0,0.1736872576711888,-0.9999999999999963
244,SAMSUNG Series 5+ AddWash WW90T554DAN/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - Graphite,TV,479.0,4.6,778.0,479.0,4.5,169.0,0.0,1.9999999999999927
245,SAMSUNG Series 5 ecobubble WW90TA046AX/EU 9 kg 1400 Spin Washing Machine - Graphite,TV,449.0,4.65,1304.0,449.0,4.6,1583.0,0.0,1.0000000000000142
246,SAMSUNG Series 5 ecobubble WW90TA046AE/EU 9 kg 1400 Spin Washing Machine - White,TV,449.99,4.65,1304.0,449.0,4.5,248.0,0.2200048889975353,3.000000000000007
248,SAMSUNG Series 5+ AddWash WW90T554DAW/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - White,TV,479.0,4.6,778.0,479.0,4.5,164.0,0.0,1.9999999999999927
249,SAMSUNG Series 5+ Auto Dose WW90T534DAW/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine,TV,479.0,4.55,241.0,479.0,4.4,83.0,0.0,2.9999999999999893
250,SAMSUNG Series 5+ Auto Dose WW90T534DAN/S1 WiFi-enabled 9 kg 1400 Spin Washing Machine - Graphite,TV,479.0,4.55,241.0,479.0,4.4,89.0,0.0,2.9999999999999893
253,BOSCH Serie 4 WAN28081GB 7 kg 1400 Spin Washing Machine - White,TV,379.0,4.5,3075.0,379.0,4.5,79.0,0.0,0.0
254,SAMSUNG Series 5 ecobubble WW80TA046AX/EU 8 kg 1400 Spin Washing Machine - Graphite,TV,429.0,4.6,5636.0,409.0,4.5,257.0,4.662004662004662,1.9999999999999927
255,SAMSUNG Series 5 ecobubble WW70TA046TE/EU 7 kg 1400 Spin Washing Machine - White,TV,389.99,4.6,158.0,409.0,4.5,231.0,-4.874483961127206,1.9999999999999927
256,SAMSUNG Series 5+ AddWash WW80T554DAN/S1 WiFi-enabled 8 kg 1400 Spin Washing Machine - Graphite,TV,499.0,4.65,177.0,439.0,4.5,162.0,12.024048096192384,3.000000000000007
258,SAMSUNG Series 5 ecobubble WW80TA046AE/EU 8 kg 1400 Spin Washing Machine - White,TV,479.99,4.6,5636.0,369.0,4.5,235.0,23.12339840413342,1.9999999999999927
265,SAMSUNG Series 5+ AddWash WW80T554DAW/S1 WiFi-enabled 8 kg 1400 Spin Washing Machine - White,TV,549.99,4.65,177.0,409.0,4.5,146.0,25.635011545664465,3.000000000000007
270,BEKO DTLCE70051W 7 kg Condenser Tumble Dryer - White,TV,209.99,4.55,837.0,249.0,4.6,61.0,-18.577075098814223,-0.9999999999999963
